SKU,Category,Skroutz,Kotsovolos,Germanos,Plaisio,You,Public,Electronet,Praktiker
100304-0002,Εικόνα,,,,,,,https://www.electronet.gr/eikona-ihos/vaseis-epipla/vaseis-tv/vasi-toihoy-tv-osio-osm-1042,
100304-0003,Εικόνα,,,,,,,https://www.electronet.gr/eikona-ihos/vaseis-epipla/vaseis-tv/vasi-toihoy-tv-osio-osm-1027,
10089-0018,Εικόνα,https://www.skroutz.gr/s/19303043/Osio-OST-5001-SA-%CE%B3%CE%B9%CE%B1-%CF%84%CE%B7%CE%BB%CE%B5%CE%BF%CF%81%CE%AC%CF%83%CE%B5%CE%B9%CF%82-Samsung.html,,,,,,https://www.electronet.gr/eikona-ihos/axesoyar/tileheiristiria/tileheiristirio-osio-ost-5001-sa,
10089-0019,Εικόνα,https://www.skroutz.gr/s/19303037/Osio-OST-5002-LG-%CE%B3%CE%B9%CE%B1-%CF%84%CE%B7%CE%BB%CE%B5%CE%BF%CF%81%CE%AC%CF%83%CE%B5%CE%B9%CF%82-LG.html,,,,,,https://www.electronet.gr/eikona-ihos/axesoyar/tileheiristiria/tileheiristirio-osio-ost-5002-lg,
110087-0001,Ενσύρματα Τηλέφωνα,https://www.skroutz.gr/s/22023088/Osio-OSW-4600-%CE%9C%CE%B1%CF%8D%CF%81%CE%BF.html,https://www.kotsovolos.gr/mobile-phones-gps/home-phones/stathera-tilefona/147481-osio-osw4600-black,https://www.germanos.gr/product/telephony/fixed/wired-devices/osio-ensurmato-tilefono-osw-4600/?productId=20394691&fname=skuColor&fvalue=-128022028068045800,,https://www.you.gr/tilefonia-tablets/stathera-tilefona-walkie-talkie/ensyrmata-tilefona/ensyrmato-tilefono-osio-osw-4650b-mayro,https://www.public.gr/product/tilefonia/fixed-telephony/ensyrmata-tilefona/osio-osw-4600b-ensyrmato-tilefono-mayro/prod7970598pp/,https://www.electronet.gr/tilefonia/stathera-dect/ensyrmata-tilefona/ensyrmato-tilefono-osio-osw-4600b-mayro,
110087-0002,Ενσύρματα Τηλέφωνα,https://www.skroutz.gr/s/5620668/Osio-OSW-4600-%CE%9B%CE%B5%CF%85%CE%BA%CF%8C.html,https://www.kotsovolos.gr/mobile-phones-gps/home-phones/stathera-tilefona/147480-osio-sw4600-white,https://www.germanos.gr/product/telephony/fixed/wired-devices/osio-ensurmato-tilefono-osw-4600/?productId=20394691&fname=skuColor&fvalue=-127955720251447699&commerceItem=&isComingSoon=,,,https://www.public.gr/product/tilefonia/fixed-telephony/ensyrmata-tilefona/osio-osw-4600w-ensyrmato-tilefono-leyko/prod10230784pp/,https://www.electronet.gr/tilefonia/stathera-dect/ensyrmata-tilefona/ensyrmato-tilefono-osio-osw-4600w-leyko,
110087-0003,Ενσύρματα Τηλέφωνα,https://www.skroutz.gr/s/22023108/Osio-Display-OSW-4650-%CE%9C%CE%B1%CF%8D%CF%81%CE%BF.html,https://www.kotsovolos.gr/mobile-phones-gps/home-phones/stathera-tilefona/157995-osio-osw4650-black,https://www.germanos.gr/product/telephony/fixed/wired-devices/osio-ensurmato-tilefono-osw-4650/?productId=20398939&fname=skuColor&fvalue=-128022028067923931,,,https://www.public.gr/product/tilefonia/fixed-telephony/ensyrmata-tilefona/osio-osw-4650b-ensyrmato-tilefono-mayro/prod10230785pp/,https://www.electronet.gr/tilefonia/stathera-dect/ensyrmata-tilefona/ensyrmato-tilefono-osio-osw-4650b-mayro,
110087-0004,Ενσύρματα Τηλέφωνα,https://www.skroutz.gr/s/7279339/Osio-Display-OSW-4650-%CE%9B%CE%B5%CF%85%CE%BA%CF%8C.html,https://www.kotsovolos.gr/kotsovolos/mobile-phones-gps/home-phones/stathera-tilefona/157994-osio-osw4650-white,https://www.germanos.gr/product/telephony/fixed/wired-devices/osio-ensurmato-tilefono-osw-4650/?productId=20398939&fname=skuColor&fvalue=-127955720251325809&commerceItem=&isComingSoon=,,,https://www.public.gr/product/tilefonia/fixed-telephony/ensyrmata-tilefona/osio-osw-4650w-ensyrmato-tilefono-leyko/prod10230786pp/,https://www.electronet.gr/tilefonia/stathera-dect/ensyrmata-tilefona/ensyrmato-tilefono-osio-osw-4650w-leyko,
110087-0013,Ενσύρματα Τηλέφωνα,https://www.skroutz.gr/s/8983398/Osio-OSW-4710-%CE%9C%CE%B1%CF%8D%CF%81%CE%BF.html,https://www.kotsovolos.gr/kotsovolos/mobile-phones-gps/home-phones/stathera-tilefona/163978-osio-osw4710-black,https://www.germanos.gr/product/telephony/fixed/wired-devices/osio-ensurmato-tilefono-osw-4710/?productId=20371724&fname=skuColor&fvalue=-128022028069981468,,,https://www.public.gr/product/tilefonia/fixed-telephony/ensyrmata-tilefona/osio-osw-4710b-ensyrmato-tilefono-mayro/prod9031183pp/,https://www.electronet.gr/tilefonia/stathera-dect/ensyrmata-tilefona/ensyrmato-tilefono-osio-osw-4710b-mayro,
110087-0014,Ενσύρματα Τηλέφωνα,https://www.skroutz.gr/s/22023127/Osio-OSW-4710-%CE%9B%CE%B5%CF%85%CE%BA%CF%8C.html,https://www.kotsovolos.gr/kotsovolos/mobile-phones-gps/home-phones/stathera-tilefona/163979-osio-osw4710-white,https://www.germanos.gr/product/telephony/fixed/wired-devices/osio-ensurmato-tilefono-osw-4710/?productId=20371724&fname=skuColor&fvalue=-127955720253383367&commerceItem=&isComingSoon=,,https://www.you.gr/tilefonia-tablets/stathera-tilefona-walkie-talkie/ensyrmata-tilefona/ensyrmato-tilefono-osio-osw-4710w-lefko,https://www.public.gr/product/tilefonia/fixed-telephony/ensyrmata-tilefona/osio-osw-4710w-ensyrmato-tilefono-leyko/prod9031184pp/,https://www.electronet.gr/tilefonia/stathera-dect/ensyrmata-tilefona/ensyrmato-tilefono-osio-osw-4710w-leyko,
